ILCD_FlowPropertyDataSet.xsd;flowprop;class;FlowPropertiesInformationType;org.openlca.ilcd.flowproperties;FlowPropertyInformation
ILCD_FlowPropertyDataSet.xsd;flowprop;class;FlowPropertyDataSetType;org.openlca.ilcd.flowproperties;FlowProperty
ILCD_FlowPropertyDataSet.xsd;flowprop;class;ModellingAndValidationType;org.openlca.ilcd.flowproperties;ModellingAndValidation
ILCD_FlowPropertyDataSet.xsd;flowprop;class;PublicationAndOwnershipType;org.openlca.ilcd.flowproperties;Publication
ILCD_FlowPropertyDataSet.xsd;flowprop;class;QuantitativeReferenceType;org.openlca.ilcd.flowproperties;QuantitativeReference
ILCD_ILCD.xsd;wrapper;class;ILCDType;org.openlca.ilcd.commons;Wrapper
ILCD_LCIAMethodDataSet.xsd;method;class;AdministrativeInformationType;org.openlca.ilcd.methods;AdministrativeInformation
ILCD_LCIAMethodDataSet.xsd;method;class;ComplianceDeclarationsType;org.openlca.ilcd.methods;ComplianceDeclarationList
ILCD_LCIAMethodDataSet.xsd;method;class;ComplianceType;org.openlca.ilcd.methods;ComplianceDeclaration
ILCD_LCIAMethodDataSet.xsd;method;class;DataEntryByType;org.openlca.ilcd.methods;DataEntry
ILCD_LCIAMethodDataSet.xsd;method;class;DataGeneratorType;org.openlca.ilcd.methods;DataGenerator
ILCD_LCIAMethodDataSet.xsd;method;class;DataSetInformationType;org.openlca.ilcd.methods;DataSetInformation
ILCD_LCIAMethodDataSet.xsd;method;class;GeographyType;org.openlca.ilcd.methods;Geography
ILCD_LCIAMethodDataSet.xsd;method;class;ImpactModelType;org.openlca.ilcd.methods;ImpactModel
ILCD_LCIAMethodDataSet.xsd;method;class;LCIAMethodDataSetType;org.openlca.ilcd.methods;LCIAMethod
ILCD_LCIAMethodDataSet.xsd;method;class;LCIAMethodInformationType;org.openlca.ilcd.methods;LCIAMethodInformation
ILCD_LCIAMethodDataSet.xsd;method;typesafeEnumClass;MethodOfReviewValues;org.openlca.ilcd.methods;ReviewMethod
ILCD_LCIAMethodDataSet.xsd;method;class;ModellingAndValidationType;org.openlca.ilcd.methods;ModellingAndValidation
ILCD_LCIAMethodDataSet.xsd;method;class;PublicationAndOwnershipType;org.openlca.ilcd.methods;Publication
ILCD_LCIAMethodDataSet.xsd;method;class;QuantitativeReferenceType;org.openlca.ilcd.methods;QuantitativeReference
ILCD_LCIAMethodDataSet.xsd;method;class;ReferencesToDataSourceType;org.openlca.ilcd.methods;DataSourceReferenceList
ILCD_LCIAMethodDataSet.xsd;method;class;ReviewType;org.openlca.ilcd.methods;Review
ILCD_LCIAMethodDataSet.xsd;method;typesafeEnumClass;ScopeOfReviewValues;org.openlca.ilcd.methods;ReviewScope
ILCD_LCIAMethodDataSet.xsd;method;class;ValidationType;org.openlca.ilcd.methods;Validation
ILCD_LCIAMethodDataSet.xsd;method;class;CharacterisationFactorsType;org.openlca.ilcd.methods;FactorList
ILCD_LCIAMethodDataSet.xsd;method;class;CharacterisationFactorType;org.openlca.ilcd.methods;Factor
ILCD_LCIAMethodDataSet.xsd;method;class;CompletenessType;org.openlca.ilcd.methods;Completeness
ILCD_LCIAMethodDataSet.xsd;method;class;DataSourcesType;org.openlca.ilcd.methods;DataSourceList
ILCD_LCIAMethodDataSet.xsd;method;class;LCIAMethodNormalisationAndWeightingType;org.openlca.ilcd.methods;NormalisationAndWeighting
