"Rimsulfuron";"Emissions to soil";"agricultural";"kg";"8b4f0e68-38d5-4bee-b647-680d3a117560";"Rimsulfuron";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Occupation, pasture and meadow, intensive";"Resources";"land";"m2a";"98b723d4-3362-4b38-8b1e-1bedacfd5e27";"Occupation, pasture and meadow, intensive";"93a60a56-a3c8-21da-a746-0800200c9a66";"Area*time";"c7266b67-4ea2-457f-b391-9b94e26e195a";"m2*a";1
"Chlorpyrifos";"Emissions to soil";"agricultural";"kg";"736923cd-6eb7-4896-98f8-46951d56da97";"Chlorpyrifos";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Tin";"Emissions to air";"low. pop., long-term";"kg";"8a422b03-1055-4bc8-b439-27bf8d7eef57";"Tin";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, unspecified natural origin, CA";"Resources";"in water";"m3";"831f249e-53f2-49cf-a93c-7cee105f048e";"Water, unspecified natural origin";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Water, well, in ground, NL";"Resources";"in water";"m3";"67c40aae-d403-464d-9649-c12695e43ad8";"Water, well, in ground";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Carbon dioxide, biogenic";"Emissions to air";"high. pop.";"kg";"73ed05cc-9727-4abf-9516-4b5c0fe54a16";"Carbon dioxide, biogenic";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"2-Methyl-4-chlorophenoxyacetic acid";"Emissions to soil";"agricultural";"kg";"e5492922-eaf5-4409-aa49-7f2a35cd0336";"MCPA";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, river, LU";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Water, GLO";"Emissions to water";"ocean";"m3";"ed3fdab8-6123-4c08-a25b-0a74a7fa779a";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Water, river, MY";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Methanol";"Emissions to air";;"kg";"0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454";"Methanol";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Simazine";"Emissions to soil";"agricultural";"kg";"3ac07adf-7b44-46f7-9470-b7b1bf0ba961";"Simazine";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Cycloxydim";"Emissions to soil";"agricultural";"kg";"111c5f0c-3dda-4b7c-a5e2-aaada6ab6f79";"Cycloxydim";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Chlorine";"Emissions to soil";;"kg";"de04891a-bf8f-4d0f-8bab-c56d869e8db8";"Chlorine";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Cerium";"Resources";"in ground";"kg";"7a636bea-94c0-4774-a791-2512b7fbda94";"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Plutonium-alpha";"Emissions to air";"low. pop.";"kBq";"4f3ee6dc-f092-429b-82bc-b9538bdb751b";"Plutonium-alpha";"93a60a56-a3c8-17da-a746-0800200c9a66";"Radioactivity";"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";1
